Год,Этап,Команда,Противник,Общее количество очков,Общее количество подач,Ошибки при подаче,ЭЙС,Общее количество приемов,Ошибки при приемах,Эффективность приемов,Общее количество атак,Ошибки на атаках,Очки на атаке,Эффективность атак,Очки на блок,Количество выигранных сетов,Количество проигрышных сетов,Победитель,Проигравший
2021,Play Off,ЗЕНИТ,ФАКЕЛ,71,94,18,9,72,10,17%,93,5,50,62%,12,3,1,ЗЕНИТ,ФАКЕЛ
2021,Play Off,ФАКЕЛ,ДИНАМО,68,111,24,9,90,10,32%,106,12,51,48%,8,2,3,ДИНАМО,ФАКЕЛ
2021,Play Off,ЗЕНИТ,ДИНАМО,47,84,13,8,68,11,4%,81,7,31,48%,8,1,3,ДИНАМО,ЗЕНИТ
2021,Play Off,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ,75,113,20,7,85,8,18%,105,6,61,62%,7,2,3,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ
2021,Play Off,КУЗБАСС,ЗЕНИТ-КАЗАНЬ,75,105,23,12,75,6,15%,103,5,53,53%,10,3,2,КУЗБАСС,ЗЕНИТ-КАЗАНЬ
2021,Play Off,ЛОКОМОТИВ,КУЗБАСС,62,94,28,6,77,5,22%,91,7,45,50%,11,1,3,КУЗБАСС,ЛОКОМОТИВ
2021,Play Off,КУЗБАСС,ЛОКОМОТИВ,57,84,11,7,80,6,11%,103,10,43,42%,7,1,3,ЛОКОМОТИВ,КУЗБАСС
2021,Play Off,ДИНАМО,ЛОКОМОТИВ,68,90,15,5,61,5,10%,96,4,49,51%,14,3,1,ДИНАМО,ЛОКОМОТИВ
2021,Play Off,КУЗБАСС,ЗЕНИТ,64,108,18,11,81,14,10%,106,9,45,42%,8,2,3,ЗЕНИТ,КУЗБАСС
2021,Play Off,ФАКЕЛ,ЗЕНИТ-КАЗАНЬ,56,81,15,6,77,10,13%,90,3,43,48%,7,1,3,ЗЕНИТ-КАЗАНЬ,ФАКЕЛ
2021,Play Off,ЗЕНИТ,ДИНАМО,57,89,19,8,74,15,11%,82,8,36,44%,13,1,3,ДИНАМО,ЗЕНИТ
2021,Play Off,ДИНАМО,ФАКЕЛ,81,117,27,10,87,9,26%,109,13,60,55%,11,3,2,ДИНАМО,ФАКЕЛ
2021,Play Off,ФАКЕЛ,ЗЕНИТ,60,85,13,10,76,9,13%,103,11,44,48%,6,1,3,ЗЕНИТ,ФАКЕЛ
2021,Play Off,ДИНАМО,ЗЕНИТ,75,94,26,11,71,8,10%,103,8,57,51%,7,3,1,ДИНАМО,ЗЕНИТ
2021,Play Off,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ,84,110,25,8,93,7,13%,118,10,69,60%,7,3,2,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ
2021,Play Off,ЗЕНИТ-КАЗАНЬ,КУЗБАСС,69,99,24,6,82,12,21%,95,6,51,56%,12,2,3,КУЗБАСС,ЗЕНИТ-КАЗАНЬ
2021,Play Off,КУЗБАСС,ЛОКОМОТИВ,62,99,22,5,66,6,18%,98,9,50,54%,7,3,1,КУЗБАСС,ЛОКОМОТИВ
2021,Play Off,ЛОКОМОТИВ,КУЗБАСС,77,98,18,6,73,7,18%,107,8,59,55%,12,3,1,ЛОКОМОТИВ,КУЗБАСС
2021,Play Off,ЛОКОМОТИВ,ДИНАМО,58,79,18,5,75,5,12%,105,3,45,43%,8,1,3,ДИНАМО,ЛОКОМОТИВ
2021,Play Off,ЗЕНИТ,КУЗБАСС,84,112,31,14,90,11,16%,124,12,59,48%,11,3,2,ЗЕНИТ,КУЗБАСС
2021,Play Off,ЗЕНИТ-КАЗАНЬ,ФАКЕЛ,77,97,20,10,66,6,12%,100,3,57,57%,10,3,1,ЗЕНИТ-КАЗАНЬ,ФАКЕЛ
2021,Play Off,ДИНАМО,ЗЕНИТ,70,98,24,15,70,8,11%,89,6,45,51%,10,3,1,ДИНАМО,ЗЕНИТ
2021,Play Out,НЕФТЯНИК,ДИНАМО ЛО,44,64,20,4,62,4,34%,74,10,34,46%,6,0,3,ДИНАМО ЛО,НЕФТЯНИК
2021,Play Out,ЮГРА,БЕЛОГОРЬЕ,55,74,18,3,45,0,31%,87,2,46,53%,6,3,0,ЮГРА,БЕЛОГОРЬЕ
2021,Play Out,БЕЛОГОРЬЕ,ДИНАМО ЛО,68,91,23,9,81,6,33%,114,8,49,43%,10,1,3,ДИНАМО ЛО,БЕЛОГОРЬЕ
2021,Play Out,ЮГРА,НЕФТЯНИК,57,84,10,7,75,6,25%,104,8,41,39%,9,1,3,НЕФТЯНИК,ЮГРА
2021,Play Out,НЕФТЯНИК,БЕЛОГОРЬЕ,63,92,18,8,77,10,21%,90,12,45,50%,10,1,3,БЕЛОГОРЬЕ,НЕФТЯНИК
2021,Play Out,ДИНАМО ЛО,ЮГРА,53,81,25,5,77,9,22%,106,9,44,42%,4,1,3,ЮГРА,ДИНАМО ЛО
2021,Play Out,ДИНАМО ЛО,НЕФТЯНИК,44,74,12,4,44,4,11%,59,5,32,54%,8,3,0,ДИНАМО ЛО,НЕФТЯНИК
2021,Play Out,БЕЛОГОРЬЕ,ЮГРА,37,58,13,0,56,3,36%,77,4,26,34%,11,0,3,ЮГРА,БЕЛОГОРЬЕ
2021,Play Out,ДИНАМО ЛО,БЕЛОГОРЬЕ,63,95,14,6,68,9,26%,100,8,46,46%,11,3,1,ДИНАМО ЛО,БЕЛОГОРЬЕ
2021,Play Out,НЕФТЯНИК,ЮГРА,71,91,16,6,74,7,26%,102,9,49,48%,16,3,1,НЕФТЯНИК,ЮГРА
2021,Play Out,БЕЛОГОРЬЕ,НЕФТЯНИК,67,98,21,10,74,8,18%,96,5,46,48%,11,3,1,БЕЛОГОРЬЕ,НЕФТЯНИК
2021,Play Out,ЮГРА,ДИНАМО ЛО,61,95,18,9,56,5,21%,89,7,42,47%,10,3,1,ЮГРА,ДИНАМО ЛО
2021,Play Out,ЮГРА,БЕЛОГОРЬЕ,83,109,16,7,85,6,19%,140,14,66,47%,10,2,3,БЕЛОГОРЬЕ,ЮГРА
2021,Play Out,НЕФТЯНИК,ДИНАМО ЛО,75,97,18,6,89,5,25%,120,8,63,53%,6,2,3,ДИНАМО ЛО,НЕФТЯНИК
2021,Play Out,БЕЛОГОРЬЕ,ДИНАМО ЛО,33,47,12,4,63,9,17%,72,4,27,38%,2,0,3,ДИНАМО ЛО,БЕЛОГОРЬЕ
2021,Play Out,ЮГРА,НЕФТЯНИК,58,73,13,3,56,5,30%,76,4,47,62%,8,3,0,ЮГРА,НЕФТЯНИК
2021,Play Out,ДИНАМО ЛО,ЮГРА,95,121,24,4,98,2,23%,117,10,75,64%,16,3,2,ДИНАМО ЛО,ЮГРА
2021,Play Out,НЕФТЯНИК,БЕЛОГОРЬЕ,64,90,17,8,64,5,30%,90,8,48,53%,8,3,1,НЕФТЯНИК,БЕЛОГОРЬЕ
2021,Play Out,БЕЛОГОРЬЕ,ЮГРА,69,99,14,6,93,7,27%,133,11,55,41%,8,3,2,БЕЛОГОРЬЕ,ЮГРА
2021,Play Out,ДИНАМО ЛО,НЕФТЯНИК,76,103,14,5,79,6,15%,125,8,65,52%,6,3,2,ДИНАМО ЛО,НЕФТЯНИК
2021,Play Out,ДИНАМО ЛО,БЕЛОГОРЬЕ,56,74,11,9,35,4,20%,63,2,37,59%,10,3,0,ДИНАМО ЛО,БЕЛОГОРЬЕ
2021,Play Out,НЕФТЯНИК,ЮГРА,43,64,8,5,60,3,22%,76,8,35,46%,3,0,3,ЮГРА,НЕФТЯНИК
2021,Play Out,ЮГРА,ДИНАМО ЛО,77,114,16,2,97,4,24%,128,10,67,52%,8,2,3,ДИНАМО ЛО,ЮГРА
2021,Play Out,БЕЛОГОРЬЕ,НЕФТЯНИК,53,82,18,5,73,8,21%,82,7,39,48%,9,1,3,НЕФТЯНИК,БЕЛОГОРЬЕ
2022,Play Off,БЕЛОГОРЬЕ,ЗЕНИТ-КАЗАНЬ,50,78,13,4,80,7,19%,94,12,36,38%,10,1,3,ЗЕНИТ-КАЗАНЬ,БЕЛОГОРЬЕ
2022,Play Off,ДИНАМО,БЕЛОГОРЬЕ,59,73,17,6,53,1,17%,92,6,44,48%,9,3,0,ДИНАМО,БЕЛОГОРЬЕ
2022,Play Off,ЗЕНИТ-КАЗАНЬ,ДИНАМО,47,75,9,2,54,8,19%,72,6,40,56%,5,3,0,ЗЕНИТ-КАЗАНЬ,ДИНАМО 
2022,Play Off,ЗЕНИТ,ЗЕНИТ-КАЗАНЬ,34,54,14,0,63,6,21%,87,9,30,34%,4,0,3,ЗЕНИТ-КАЗАНЬ,ЗЕНИТ
2022,Play Off,ДИНАМО ЛО,ЛОКОМОТИВ,64,95,19,4,78,8,24%,105,8,52,50%,8,1,3,ЛОКОМОТИВ,ДИНАМО ЛО
2022,Play Off,ЗЕНИТ,ДИНАМО ЛО,81,103,24,8,91,4,35%,128,7,66,52%,7,3,2,ЗЕНИТ,ДИНАМО ЛО
2022,Play Off,ЛОКОМОТИВ,ЗЕНИТ,61,88,21,6,74,10,24%,100,9,45,45%,10,1,3,ЗЕНИТ,ЛОКОМОТИВ
2022,Play Off,ДИНАМО,ЛОКОМОТИВ,67,108,22,7,71,10,6%,95,7,55,58%,5,3,2,ДИНАМО,ЛОКОМОТИВ
2022,Play Off,ЗЕНИТ,ДИНАМО,54,88,25,5,72,5,32%,92,9,39,42%,10,1,3,ДИНАМО,ЗЕНИТ
2022,Play Off,ЗЕНИТ-КАЗАНЬ,ЛОКОМОТИВ,47,69,14,2,58,8,17%,76,6,41,54%,4,0,3,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ
2022,Play Off,ЗЕНИТ-КАЗАНЬ,БЕЛОГОРЬЕ,68,93,13,7,65,4,23%,97,13,45,46%,16,3,1,ЗЕНИТ-КАЗАНЬ,БЕЛОГОРЬЕ
2022,Play Off,БЕЛОГОРЬЕ,ДИНАМО,39,64,11,1,56,6,9%,69,4,26,38%,12,0,3,ДИНАМО,БЕЛОГОРЬЕ
2022,Play Off,ДИНАМО,ЗЕНИТ-КАЗАНЬ,56,73,19,8,66,2,29%,91,9,42,46%,6,0,3,ЗЕНИТ-КАЗАНЬ,ДИНАМО 
2022,Play Off,ЗЕНИТ-КАЗАНЬ,ЗЕНИТ,49,73,10,6,40,0,35%,77,8,34,44%,9,3,0,ЗЕНИТ-КАЗАНЬ,ЗЕНИТ
2022,Play Off,ЛОКОМОТИВ,ДИНАМО ЛО,76,103,25,8,76,4,28%,115,5,60,52%,8,3,1,ЛОКОМОТИВ,ДИНАМО ЛО
2022,Play Off,ДИНАМО ЛО,ЗЕНИТ,71,106,15,4,79,8,22%,106,8,51,48%,16,2,3,ЗЕНИТ,ДИНАМО ЛО
2022,Play Off,ЗЕНИТ,ЛОКОМОТИВ,65,95,21,10,67,6,28%,93,4,41,44%,14,3,1,ЗЕНИТ,ЛОКОМОТИВ
2022,Play Off,ЛОКОМОТИВ,ДИНАМО,72,104,33,10,86,7,9%,108,8,53,49%,9,2,3,ДИНАМО,ЛОКОМОТИВ
2022,Play Off,ДИНАМО,ЗЕНИТ,59,93,21,5,63,5,24%,97,11,45,46%,9,3,1,ДИНАМО,ЗЕНИТ
2022,Play Off,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ,54,73,15,8,55,2,22%,81,4,40,49%,6,3,0,ЛОКОМОТИВ,ЗЕНИТ-КАЗАНЬ
2022,Play Out,ЕНИСЕЙ,НЕФТЯНИК,79,108,23,11,77,6,23%,98,3,55,56%,13,3,2,ЕНИСЕЙ,НЕФТЯНИК
2022,Play Out,ЮГРА,УРАЛ,73,103,21,4,80,1,36%,114,5,58,51%,11,3,1,ЮГРА,УРАЛ
2022,Play Out,НЕФТЯНИК,УРАЛ,44,65,13,2,60,6,32%,74,7,38,51%,4,0,3,УРАЛ,НЕФТЯНИК
2022,Play Out,ЕНИСЕЙ,ЮГРА,66,88,19,6,85,5,28%,112,8,52,46%,8,1,3,ЮГРА,ЕНИСЕЙ
2022,Play Out,УРАЛ,ЕНИСЕЙ,54,74,15,6,51,3,27%,67,5,39,58%,9,3,0,УРАЛ,ЕНИСЕЙ
2022,Play Out,ЮГРА,ЕНИСЕЙ,66,96,11,7,70,4,27%,88,4,49,56%,10,3,1,ЮГРА,НЕФТЯНИК
2022,Play Out,НЕФТЯНИК,ЕНИСЕЙ,71,98,21,6,85,11,18%,105,7,56,53%,9,2,3,ЕНИСЕЙ,НЕФТЯНИК
2022,Play Out,УРАЛ,ЮГРА,69,102,22,1,81,4,28%,122,7,57,47%,11,1,3,ЮГРА,УРАЛ
2022,Play Out,УРАЛ,НЕФТЯНИК,54,73,13,6,52,2,31%,62,4,34,55%,14,3,0,УРАЛ,НЕФТЯНИК
2022,Play Out,ЮГРА,ЕНИСЕЙ,76,103,18,5,69,6,29%,95,3,57,60%,14,3,1,ЮГРА,ЕНИСЕЙ
2022,Play Out,ЕНИСЕЙ,УРАЛ,43,64,13,3,59,6,34%,65,5,35,54%,5,0,3,УРАЛ,ЕНИСЕЙ
2022,Play Out,ЕНИСЕЙ,ЮГРА,70,89,19,4,85,7,27%,107,10,55,51%,11,1,3,ЮГРА,НЕФТЯНИК
2023,Play Off,ЛОКОМОТИВ,БЕЛОГОРЬЕ,61,73,19,11,65,4,8%,79,7,41,52%,9,3,0,ЛОКОМОТИВ,БЕЛОГОРЬЕ
2023,Play Off,ЗЕНИТ-КАЗАНЬ,АСК,59,73,12,9,51,3,14%,78,1,44,56%,6,3,0,ЗЕНИТ-КАЗАНЬ,АСК
2023,Play Off,ДИНАМО,ФАКЕЛ,55,74,20,4,45,2,11%,68,4,45,66%,6,3,0,ДИНАМО,ФАКЕЛ
2023,Play Off,ЗЕНИТ,ДИНАМО ЛО,62,73,9,8,46,3,11%,78,4,44,56%,10,3,0,ЗЕНИТ,ДИНАМО ЛО
2023,Play Off,ФАКЕЛ,ДИНАМО,50,76,14,3,81,15,2%,84,6,40,48%,7,1,3,ДИНАМО,ФАКЕЛ
2023,Play Off,ДИНАМО ЛО,ЗЕНИТ,81,107,21,7,89,5,24%,124,6,66,53%,8,3,1,ДИНАМО ЛО,ЗЕНИТ
2023,Play Off,АСК,ЗЕНИТ-КАЗАНЬ,57,100,12,6,79,6,16%,107,8,47,44%,4,2,3,ЗЕНИТ-КАЗАНЬ,АСК
2023,Play Off,БЕЛОГОРЬЕ,ЛОКОМОТИВ,73,96,11,8,70,5,11%,90,4,54,60%,11,3,1,БЕЛОГОРЬЕ,ЛОКОМОТИВ
2023,Play Off,ЛОКОМОТИВ,БЕЛОГОРЬЕ,63,73,19,9,50,0,12%,80,5,46,58%,8,3,0,ЛОКОМОТИВ,БЕЛОГОРЬЕ
